psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100523;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;58;1;3;3;4;132,9
100528;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;2;3;2;1;2;2; ; ;61;1;3;4;5;132,9
100538;2;1;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;3; ;1;1;2;2;1;2; ; ; ;75;6;7;4;4;133,2
100540;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;5;3;3;3;133,7
100553;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;1;1;2;1;2;2; ; ;73;1;6;3;5;133,8
100554;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;3; ;1;1;2;2;1;2;2; ; ;57;1;5;2;5;134
100559;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;2; ; ;47;1;3;1;7;134,2
100569;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;4; ;1;1;2;2;1;2;2; ; ;74;5;5;3;5;134,3
100573;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;44;1;2;2;2;134,7
100575;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;0; ;1;2;2;2;1;2;2; ; ;49;1;3;1;5;134,7
100578;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;69;1;3;3; ;134,8
100580;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;4; ;1;1;1;2;1;2;2; ; ;74;1;3;3;3;135,1
100585;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;2;2;1;2;2; ; ;64;3;7;1;6;135,1
100586;3;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;5;0;1;1;2;2;1;2;2; ; ;51;3;5;4;6;135,4
100588;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;2;2;1;2;2; ; ;23;6;6;2; ;135,8
100589;3;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;5;2;1;1;2;1;1;2; ; ; ; ;1;3;1;6;135,9
100591;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;2;2;1;2;2; ; ;72;5;5;3;5;136,2
